sektori,naeti,year,month
chasten,1405156,2003,10
chasten,1380197,2003,11
chasten,1343766,2003,12
chasten,1343250,2004,1
chasten,1349236,2004,2
chasten,1357318,2004,3
chasten,1397043,2004,4
chasten,1402677,2004,5
chasten,1409137,2004,6
chasten,1513542,2004,7
chasten,1502427,2004,8
chasten,1484139,2004,9
chasten,1501512,2004,10
chasten,1485621,2004,11
chasten,1463052,2004,12
chasten,1488941,2005,1
chasten,1485524,2005,2
chasten,1491127,2005,3
chasten,1546435,2005,4
chasten,1548281,2005,5
chasten,1559866,2005,6
chasten,1642484,2005,7
chasten,1634271,2005,8
chasten,1620418,2005,9
chasten,1610592,2005,10
chasten,1597527,2005,11
chasten,1581953,2005,12
chasten,1570283,2006,1
chasten,1570496,2006,2
chasten,1575170,2006,3
chasten,1639867,2006,4
chasten,1658721,2006,5
chasten,1677099,2006,6
chasten,1723888,2006,7
chasten,1714502,2006,8
chasten,1690835,2006,9
chasten,1707019,2006,10
chasten,1694857,2006,11
chasten,1675407,2006,12
chasten,1698690,2007,1
chasten,1703404,2007,2
chasten,1720343,2007,3
chasten,1739924,2007,4
chasten,1755047,2007,5
chasten,1774111,2007,6
chasten,1791556,2007,7
chasten,1790940,2007,8
chasten,1767923,2007,9
chasten,1752540,2007,10
chasten,1747061,2007,11
chasten,1736137,2007,12
chasten,1828979,2008,1
chasten,1835377,2008,2
chasten,1843507,2008,3
chasten,1858841,2008,4
chasten,1874553,2008,5
chasten,1890149,2008,6
chasten,2001168,2008,7
chasten,1991063,2008,8
chasten,1961275,2008,9
chasten,1967320,2008,10
chasten,1930192,2008,11
chasten,1883974,2008,12
chasten,1883708,2009,1
chasten,1864617,2009,2
chasten,1845645,2009,3
chasten,1886913,2009,4
chasten,1890339,2009,5
chasten,1897342,2009,6
chasten,1897184,2009,7
chasten,1876060,2009,8
chasten,1833645,2009,9
chasten,1865271,2009,10
chasten,1826200,2009,11
chasten,1796088,2009,12
chasten,1785914,2010,1
chasten,1768763,2010,2
chasten,1766702,2010,3
chasten,1788651,2010,4
chasten,1800556,2010,5
chasten,1823756,2010,6
chasten,1847199,2010,7
chasten,1832060,2010,8
chasten,1786026,2010,9
chasten,1796345,2010,10
chasten,1778389,2010,11
chasten,1748168,2010,12
chasten,1771149,2011,1
chasten,1767027,2011,2
chasten,1766879,2011,3
chasten,1779227,2011,4
chasten,1798202,2011,5
chasten,1817478,2011,6
chasten,1826632,2011,7
chasten,1816816,2011,8
chasten,1782769,2011,9
chasten,1743474,2011,10
chasten,1722854,2011,11
chasten,1701893,2011,12
chasten,1729495,2012,1
chasten,1715780,2012,2
chasten,1714051,2012,3
chasten,1749276,2012,4
chasten,1772055,2012,5
chasten,1793383,2012,6
chasten,1811917,2012,7
chasten,1792058,2012,8
chasten,1747693,2012,9
chasten,1721497,2012,10
chasten,1703109,2012,11
chasten,1682167,2012,12
chasten,1709934,2013,1
chasten,1705385,2013,2
chasten,1705864,2013,3
chasten,1728441,2013,4
chasten,1755001,2013,5
chasten,1786817,2013,6
chasten,1806648,2013,7
chasten,1791176,2013,8
chasten,1738390,2013,9
chasten,1718137,2013,10
chasten,1707368,2013,11
chasten,1688700,2013,12
chasten,1646249,2014,1
chasten,1648308,2014,2
chasten,1656916,2014,3
chasten,1680242,2014,4
chasten,1707875,2014,5
chasten,1740286,2014,6
chasten,1759903,2014,7
chasten,1745454,2014,8
chasten,1693182,2014,9
chasten,1670389,2014,10
chasten,1661593,2014,11
chasten,1649828,2014,12
