"unit","nace_r2","na_item","geo","time","values"
"PCH_PRE_PER","C16-C18","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C16-C18","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C16-C18","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C17","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C17","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C17","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C18","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C18","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C18","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C19","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C19","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C20","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C20","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C20","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C21","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C21","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C21","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C22","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C22","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C22","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C22_C23","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C22_C23","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C22_C23","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C23","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C23","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C23","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C24","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C24","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C24","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C24_C25","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C24_C25","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C24_C25","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C25","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C25","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C25","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C26","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C26","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C26","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C27","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C27","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C27","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C28","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C28","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C28","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C29","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C29","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C29","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C29_C30","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C29_C30","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C29_C30","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C30","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C30","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C31-C33","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C31-C33","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C31-C33","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C31_C32","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C31_C32","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C31_C32","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C33","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C33","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C33","SELF_DC","BG",2014,NA
