"sektori","kod","naeti","year","quarter"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",96530,2000,"Q4"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",38469,2000,"Q4"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",70695,2000,"Q4"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",58061,2000,"Q4"
"Транспорт, складиране и пощи - общо","H",127394,2000,"Q4"
"Сухопътен транспорт ","H49",75655,2000,"Q4"
"Воден транспорт","H50",6053,2000,"Q4"
"Въздушен транспорт","H51",3363,2000,"Q4"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",25082,2000,"Q4"
"Пощенски и куриерски услуги","H53",17241,2000,"Q4"
"Хотелиерство и ресторантьорство","I",50287,2000,"Q4"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",46369,2000,"Q4"
"Издателска дейност","J58",6308,2000,"Q4"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",1876,2000,"Q4"
"Радио- и телевизионна дейност","J60",2964,2000,"Q4"
"Далекосъобщения","J61",28830,2000,"Q4"
"Дейности в областта на информационните технологии","J62",4989,2000,"Q4"
"Информационни услуги","J63",1402,2000,"Q4"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",28491,2000,"Q4"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",32015,2000,"Q4"
"Добивна промишленост","B",35438,2001,"Q1"
"Добив на въглища","B05",19321,2001,"Q1"
"Добив на метални руди","B07",9108,2001,"Q1"
"Добив на неметални материали и суровини","B08",5790,2001,"Q1"
"Преработваща промишленост","C",540059,2001,"Q1"
"Производство на хранителни продукти ","C10",66222,2001,"Q1"
"Производство на напитки","C11",16685,2001,"Q1"
"Производство на тютюневи изделия ","C12",14224,2001,"Q1"
"Производство на текстил и изделия от текстил, без  облекло","C13",23989,2001,"Q1"
"Производство на облекло","C14",112269,2001,"Q1"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",18361,2001,"Q1"
"Производство на дървен материал и изделия от него, без мебели","C16",13156,2001,"Q1"
"Производство на хартия, картон и изделия от хартия и картон","C17",12360,2001,"Q1"
"Печатна дейност и възпроизвеждане на записани носители","C18",3597,2001,"Q1"
"Производство на кокс и рафинирани нефтопродукти","C19",10427,2001,"Q1"
"Производство на химични продукти","C20",22458,2001,"Q1"
"Производство на лекарствени вещества и продукти","C21",10133,2001,"Q1"
"Производство на изделия от каучук и пластмаси","C22",15657,2001,"Q1"
"Производство на изделия от други неметални  минерални суровини","C23",21131,2001,"Q1"
"Производство на основни метали","C24",28730,2001,"Q1"
"Производство на метални изделия, без машини и оборудване ","C25",36764,2001,"Q1"
"Производство на компютърна  техника, електронни и оптични продукти","C26",12226,2001,"Q1"
"Производство на електрически съоръжения","C27",16368,2001,"Q1"
"Производство на машини и оборудване, с общо и специално предназначение","C28",39213,2001,"Q1"
"Производство на автомобили, ремаркета и полуремаркета","C29",3612,2001,"Q1"
"Производство на превозни средства, без автомобили","C30",3381,2001,"Q1"
"Производство на мебели","C31",13985,2001,"Q1"
"Производство, некласифицирано другаде ","C32",6251,2001,"Q1"
"Ремонт и инсталиране на машини и оборудване","C33",18860,2001,"Q1"
"Производство и разпределение на електрическа и топлоенергия и газ","D",41810,2001,"Q1"
"Събиране,пречистване и доставяне на води","Е36",19516,2001,"Q1"
"Продукти за междинно потребление","MIG_ING",176178,2001,"Q1"
"Енергийни продукти","MIG_NRG",92257,2001,"Q1"
"Инвестиционни продукти","MIG_CAG",98785,2001,"Q1"
"Потребителски дълготрайни продукти","MIG_DCOG",19005,2001,"Q1"
"Потребителски недълготрайни продукти","MIG_NDCOG",250598,2001,"Q1"
"Строителство","F",90552,2001,"Q1"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",13023,2001,"Q1"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",86669,2001,"Q1"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",109613,2001,"Q1"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",96163,2001,"Q1"
