"sektori","kod","naeti","year","quarter"
"Добивна промишленост","B",28308,2007,"Q2"
"Добив на въглища","B05",13514,2007,"Q2"
"Добив на метални руди","B07",7051,2007,"Q2"
"Добив на неметални материали и суровини","B08",7093,2007,"Q2"
"Преработваща промишленост","C",627460,2007,"Q2"
"Производство на хранителни продукти ","C10",90448,2007,"Q2"
"Производство на напитки","C11",19072,2007,"Q2"
"Производство на тютюневи изделия ","C12",5073,2007,"Q2"
"Производство на текстил и изделия от текстил, без  облекло","C13",21098,2007,"Q2"
"Производство на облекло","C14",142476,2007,"Q2"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",18079,2007,"Q2"
"Производство на дървен материал и изделия от него, без мебели","C16",18981,2007,"Q2"
"Производство на хартия, картон и изделия от хартия и картон","C17",12097,2007,"Q2"
"Печатна дейност и възпроизвеждане на записани носители","C18",5847,2007,"Q2"
"Производство на кокс и рафинирани нефтопродукти","C19",4450,2007,"Q2"
"Производство на химични продукти","C20",17008,2007,"Q2"
"Производство на лекарствени вещества и продукти","C21",8012,2007,"Q2"
"Производство на изделия от каучук и пластмаси","C22",23871,2007,"Q2"
"Производство на изделия от други неметални  минерални суровини","C23",30071,2007,"Q2"
"Производство на основни метали","C24",22005,2007,"Q2"
"Производство на метални изделия, без машини и оборудване ","C25",47882,2007,"Q2"
"Производство на компютърна  техника, електронни и оптични продукти","C26",12223,2007,"Q2"
"Производство на електрически съоръжения","C27",21464,2007,"Q2"
"Производство на машини и оборудване, с общо и специално предназначение","C28",41824,2007,"Q2"
"Производство на автомобили, ремаркета и полуремаркета","C29",6786,2007,"Q2"
"Производство на превозни средства, без автомобили","C30",7185,2007,"Q2"
"Производство на мебели","C31",24149,2007,"Q2"
"Производство, некласифицирано другаде ","C32",8810,2007,"Q2"
"Ремонт и инсталиране на машини и оборудване","C33",18549,2007,"Q2"
"Производство и разпределение на електрическа и топлоенергия и газ","D",34650,2007,"Q2"
"Събиране,пречистване и доставяне на води","Е36",18779,2007,"Q2"
"Продукти за междинно потребление","MIG_ING",195719,2007,"Q2"
"Енергийни продукти","MIG_NRG",71822,2007,"Q2"
"Инвестиционни продукти","MIG_CAG",108377,2007,"Q2"
"Потребителски дълготрайни продукти","MIG_DCOG",35850,2007,"Q2"
"Потребителски недълготрайни продукти","MIG_NDCOG",297429,2007,"Q2"
"Строителство","F",190073,2007,"Q2"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",30651,2007,"Q2"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",151936,2007,"Q2"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",195522,2007,"Q2"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",179121,2007,"Q2"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",53910,2007,"Q2"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",141612,2007,"Q2"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",125211,2007,"Q2"
"Транспорт, складиране и пощи - общо","H",144425,2007,"Q2"
"Сухопътен транспорт ","H49",77581,2007,"Q2"
"Воден транспорт","H50",5419,2007,"Q2"
"Въздушен транспорт","H51",2822,2007,"Q2"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",39454,2007,"Q2"
"Пощенски и куриерски услуги","H53",19149,2007,"Q2"
"Хотелиерство и ресторантьорство","I",124321,2007,"Q2"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",52853,2007,"Q2"
"Издателска дейност","J58",9659,2007,"Q2"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2991,2007,"Q2"
"Радио- и телевизионна дейност","J60",4603,2007,"Q2"
"Далекосъобщения","J61",21674,2007,"Q2"
"Дейности в областта на информационните технологии","J62",11410,2007,"Q2"
"Информационни услуги","J63",2516,2007,"Q2"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",52920,2007,"Q2"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",66307,2007,"Q2"
"Добивна промишленост","B",27813,2007,"Q3"
"Добив на въглища","B05",13061,2007,"Q3"
"Добив на метални руди","B07",6983,2007,"Q3"
"Добив на неметални материали и суровини","B08",7133,2007,"Q3"
"Преработваща промишленост","C",620995,2007,"Q3"
"Производство на хранителни продукти ","C10",90991,2007,"Q3"
"Производство на напитки","C11",18994,2007,"Q3"
"Производство на тютюневи изделия ","C12",4891,2007,"Q3"
"Производство на текстил и изделия от текстил, без  облекло","C13",20528,2007,"Q3"
"Производство на облекло","C14",137370,2007,"Q3"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",18059,2007,"Q3"
"Производство на дървен материал и изделия от него, без мебели","C16",19061,2007,"Q3"
"Производство на хартия, картон и изделия от хартия и картон","C17",11934,2007,"Q3"
"Печатна дейност и възпроизвеждане на записани носители","C18",5759,2007,"Q3"
"Производство на кокс и рафинирани нефтопродукти","C19",4382,2007,"Q3"
"Производство на химични продукти","C20",16683,2007,"Q3"
"Производство на лекарствени вещества и продукти","C21",8017,2007,"Q3"
"Производство на изделия от каучук и пластмаси","C22",23486,2007,"Q3"
"Производство на изделия от други неметални  минерални суровини","C23",31290,2007,"Q3"
"Производство на основни метали","C24",21680,2007,"Q3"
"Производство на метални изделия, без машини и оборудване ","C25",48094,2007,"Q3"
"Производство на компютърна  техника, електронни и оптични продукти","C26",11935,2007,"Q3"
"Производство на електрически съоръжения","C27",21419,2007,"Q3"
"Производство на машини и оборудване, с общо и специално предназначение","C28",41607,2007,"Q3"
"Производство на автомобили, ремаркета и полуремаркета","C29",6885,2007,"Q3"
"Производство на превозни средства, без автомобили","C30",7149,2007,"Q3"
"Производство на мебели","C31",23918,2007,"Q3"
"Производство, некласифицирано другаде ","C32",8343,2007,"Q3"
"Ремонт и инсталиране на машини и оборудване","C33",18520,2007,"Q3"
"Производство и разпределение на електрическа и топлоенергия и газ","D",35051,2007,"Q3"
"Събиране,пречистване и доставяне на води","Е36",18776,2007,"Q3"
"Продукти за междинно потребление","MIG_ING",194407,2007,"Q3"
"Енергийни продукти","MIG_NRG",71699,2007,"Q3"
"Инвестиционни продукти","MIG_CAG",108631,2007,"Q3"
"Потребителски дълготрайни продукти","MIG_DCOG",35378,2007,"Q3"
"Потребителски недълготрайни продукти","MIG_NDCOG",292520,2007,"Q3"
"Строителство","F",191664,2007,"Q3"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",31458,2007,"Q3"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",151643,2007,"Q3"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",196556,2007,"Q3"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",180212,2007,"Q3"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",53346,2007,"Q3"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",143210,2007,"Q3"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",126866,2007,"Q3"
"Транспорт, складиране и пощи - общо","H",143891,2007,"Q3"
"Сухопътен транспорт ","H49",77644,2007,"Q3"
"Воден транспорт","H50",5437,2007,"Q3"
"Въздушен транспорт","H51",2700,2007,"Q3"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",39003,2007,"Q3"
"Пощенски и куриерски услуги","H53",19107,2007,"Q3"
"Хотелиерство и ресторантьорство","I",115654,2007,"Q3"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",53730,2007,"Q3"
"Издателска дейност","J58",9956,2007,"Q3"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",3209,2007,"Q3"
"Радио- и телевизионна дейност","J60",4581,2007,"Q3"
"Далекосъобщения","J61",21593,2007,"Q3"
"Дейности в областта на информационните технологии","J62",11792,2007,"Q3"
"Информационни услуги","J63",2599,2007,"Q3"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",55227,2007,"Q3"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",65903,2007,"Q3"
"Добивна промишленост","B",27595,2007,"Q4"
"Добив на въглища","B05",13163,2007,"Q4"
"Добив на метални руди","B07",6932,2007,"Q4"
"Добив на неметални материали и суровини","B08",6866,2007,"Q4"
"Преработваща промишленост","C",608842,2007,"Q4"
"Производство на хранителни продукти ","C10",89295,2007,"Q4"
"Производство на напитки","C11",17911,2007,"Q4"
"Производство на тютюневи изделия ","C12",4215,2007,"Q4"
"Производство на текстил и изделия от текстил, без  облекло","C13",19485,2007,"Q4"
"Производство на облекло","C14",135012,2007,"Q4"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",17918,2007,"Q4"
"Производство на дървен материал и изделия от него, без мебели","C16",18602,2007,"Q4"
"Производство на хартия, картон и изделия от хартия и картон","C17",11711,2007,"Q4"
"Печатна дейност и възпроизвеждане на записани носители","C18",5780,2007,"Q4"
"Производство на кокс и рафинирани нефтопродукти","C19",4318,2007,"Q4"
"Производство на химични продукти","C20",16170,2007,"Q4"
"Производство на лекарствени вещества и продукти","C21",7920,2007,"Q4"
"Производство на изделия от каучук и пластмаси","C22",23207,2007,"Q4"
"Производство на изделия от други неметални  минерални суровини","C23",30437,2007,"Q4"
"Производство на основни метали","C24",20475,2007,"Q4"
"Производство на метални изделия, без машини и оборудване ","C25",48308,2007,"Q4"
"Производство на компютърна  техника, електронни и оптични продукти","C26",11432,2007,"Q4"
"Производство на електрически съоръжения","C27",21424,2007,"Q4"
"Производство на машини и оборудване, с общо и специално предназначение","C28",41195,2007,"Q4"
"Производство на автомобили, ремаркета и полуремаркета","C29",6791,2007,"Q4"
"Производство на превозни средства, без автомобили","C30",7054,2007,"Q4"
"Производство на мебели","C31",23654,2007,"Q4"
"Производство, некласифицирано другаде ","C32",8074,2007,"Q4"
"Ремонт и инсталиране на машини и оборудване","C33",18454,2007,"Q4"
"Производство и разпределение на електрическа и топлоенергия и газ","D",35348,2007,"Q4"
"Събиране,пречистване и доставяне на води","Е36",18582,2007,"Q4"
"Продукти за междинно потребление","MIG_ING",189103,2007,"Q4"
"Енергийни продукти","MIG_NRG",71841,2007,"Q4"
"Инвестиционни продукти","MIG_CAG",108333,2007,"Q4"
"Потребителски дълготрайни продукти","MIG_DCOG",34874,2007,"Q4"
"Потребителски недълготрайни продукти","MIG_NDCOG",286216,2007,"Q4"
"Строителство","F",190108,2007,"Q4"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",30555,2007,"Q4"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",163430,2007,"Q4"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",198278,2007,"Q4"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",181812,2007,"Q4"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",54640,2007,"Q4"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",143638,2007,"Q4"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",127172,2007,"Q4"
"Транспорт, складиране и пощи - общо","H",141105,2007,"Q4"
"Сухопътен транспорт ","H49",76982,2007,"Q4"
"Воден транспорт","H50",5394,2007,"Q4"
"Въздушен транспорт","H51",2473,2007,"Q4"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",37092,2007,"Q4"
"Пощенски и куриерски услуги","H53",19164,2007,"Q4"
"Хотелиерство и ресторантьорство","I",95172,2007,"Q4"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",53685,2007,"Q4"
"Издателска дейност","J58",9812,2007,"Q4"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2916,2007,"Q4"
"Радио- и телевизионна дейност","J60",4669,2007,"Q4"
"Далекосъобщения","J61",21518,2007,"Q4"
"Дейности в областта на информационните технологии","J62",12262,2007,"Q4"
"Информационни услуги","J63",2508,2007,"Q4"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",52615,2007,"Q4"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",65824,2007,"Q4"
"Добивна промишленост","B",28806,2008,"Q1"
"Добив на въглища","B05",13303,2008,"Q1"
"Добив на метални руди","B07",6868,2008,"Q1"
"Добив на неметални материали и суровини","B08",8203,2008,"Q1"
"Преработваща промишленост","C",621408,2008,"Q1"
"Производство на хранителни продукти ","C10",84190,2008,"Q1"
"Производство на напитки","C11",16273,2008,"Q1"
"Производство на тютюневи изделия ","C12",4118,2008,"Q1"
"Производство на текстил и изделия от текстил, без  облекло","C13",17513,2008,"Q1"
"Производство на облекло","C14",142163,2008,"Q1"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",18749,2008,"Q1"
"Производство на дървен материал и изделия от него, без мебели","C16",18600,2008,"Q1"
"Производство на хартия, картон и изделия от хартия и картон","C17",10821,2008,"Q1"
"Печатна дейност и възпроизвеждане на записани носители","C18",9017,2008,"Q1"
"Производство на кокс и рафинирани нефтопродукти","C19",3546,2008,"Q1"
"Производство на химични продукти","C20",15040,2008,"Q1"
"Производство на лекарствени вещества и продукти","C21",7627,2008,"Q1"
"Производство на изделия от каучук и пластмаси","C22",26197,2008,"Q1"
"Производство на изделия от други неметални  минерални суровини","C23",29500,2008,"Q1"
"Производство на основни метали","C24",19131,2008,"Q1"
"Производство на метални изделия, без машини и оборудване ","C25",60056,2008,"Q1"
"Производство на компютърна  техника, електронни и оптични продукти","C26",9494,2008,"Q1"
"Производство на електрически съоръжения","C27",20651,2008,"Q1"
"Производство на машини и оборудване, с общо и специално предназначение","C28",37788,2008,"Q1"
"Производство на автомобили, ремаркета и полуремаркета","C29",10086,2008,"Q1"
"Производство на превозни средства, без автомобили","C30",6723,2008,"Q1"
"Производство на мебели","C31",29114,2008,"Q1"
"Производство, некласифицирано другаде ","C32",7357,2008,"Q1"
"Ремонт и инсталиране на машини и оборудване","C33",17654,2008,"Q1"
"Производство и разпределение на електрическа и топлоенергия и газ","D",34262,2008,"Q1"
"Събиране,пречистване и доставяне на води","Е36",18468,2008,"Q1"
"Продукти за междинно потребление","MIG_ING",192411,2008,"Q1"
"Енергийни продукти","MIG_NRG",69982,2008,"Q1"
"Инвестиционни продукти","MIG_CAG",108689,2008,"Q1"
"Потребителски дълготрайни продукти","MIG_DCOG",36889,2008,"Q1"
"Потребителски недълготрайни продукти","MIG_NDCOG",294973,2008,"Q1"
"Строителство","F",235714,2008,"Q1"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",35264,2008,"Q1"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",153557,2008,"Q1"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",207704,2008,"Q1"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",191161,2008,"Q1"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",70833,2008,"Q1"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",136871,2008,"Q1"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",120328,2008,"Q1"
"Транспорт, складиране и пощи - общо","H",145650,2008,"Q1"
"Сухопътен транспорт ","H49",83444,2008,"Q1"
"Воден транспорт","H50",5525,2008,"Q1"
"Въздушен транспорт","H51",2292,2008,"Q1"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",34473,2008,"Q1"
"Пощенски и куриерски услуги","H53",19916,2008,"Q1"
"Хотелиерство и ресторантьорство","I",99630,2008,"Q1"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",51263,2008,"Q1"
"Издателска дейност","J58",6469,2008,"Q1"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",1421,2008,"Q1"
"Радио- и телевизионна дейност","J60",4135,2008,"Q1"
"Далекосъобщения","J61",18267,2008,"Q1"
"Дейности в областта на информационните технологии","J62",17679,2008,"Q1"
"Информационни услуги","J63",3292,2008,"Q1"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",55322,2008,"Q1"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",77609,2008,"Q1"
"Добивна промишленост","B",28728,2008,"Q2"
"Добив на въглища","B05",13254,2008,"Q2"
"Добив на метални руди","B07",6872,2008,"Q2"
"Добив на неметални материали и суровини","B08",8186,2008,"Q2"
"Преработваща промишленост","C",624614,2008,"Q2"
"Производство на хранителни продукти ","C10",86401,2008,"Q2"
"Производство на напитки","C11",16863,2008,"Q2"
"Производство на тютюневи изделия ","C12",4363,2008,"Q2"
"Производство на текстил и изделия от текстил, без  облекло","C13",17155,2008,"Q2"
"Производство на облекло","C14",142166,2008,"Q2"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",18029,2008,"Q2"
"Производство на дървен материал и изделия от него, без мебели","C16",18549,2008,"Q2"
"Производство на хартия, картон и изделия от хартия и картон","C17",10796,2008,"Q2"
"Печатна дейност и възпроизвеждане на записани носители","C18",8967,2008,"Q2"
"Производство на кокс и рафинирани нефтопродукти","C19",3356,2008,"Q2"
"Производство на химични продукти","C20",15332,2008,"Q2"
"Производство на лекарствени вещества и продукти","C21",7538,2008,"Q2"
"Производство на изделия от каучук и пластмаси","C22",27731,2008,"Q2"
"Производство на изделия от други неметални  минерални суровини","C23",30237,2008,"Q2"
"Производство на основни метали","C24",19163,2008,"Q2"
"Производство на метални изделия, без машини и оборудване ","C25",59833,2008,"Q2"
"Производство на компютърна  техника, електронни и оптични продукти","C26",10104,2008,"Q2"
"Производство на електрически съоръжения","C27",20072,2008,"Q2"
"Производство на машини и оборудване, с общо и специално предназначение","C28",36872,2008,"Q2"
"Производство на автомобили, ремаркета и полуремаркета","C29",10516,2008,"Q2"
"Производство на превозни средства, без автомобили","C30",6991,2008,"Q2"
"Производство на мебели","C31",27455,2008,"Q2"
"Производство, некласифицирано другаде ","C32",7305,2008,"Q2"
"Ремонт и инсталиране на машини и оборудване","C33",18820,2008,"Q2"
"Производство и разпределение на електрическа и топлоенергия и газ","D",33807,2008,"Q2"
"Събиране,пречистване и доставяне на води","Е36",18331,2008,"Q2"
"Продукти за междинно потребление","MIG_ING",193998,2008,"Q2"
"Енергийни продукти","MIG_NRG",69143,2008,"Q2"
"Инвестиционни продукти","MIG_CAG",110472,2008,"Q2"
"Потребителски дълготрайни продукти","MIG_DCOG",36288,2008,"Q2"
"Потребителски недълготрайни продукти","MIG_NDCOG",295579,2008,"Q2"
"Строителство","F",231029,2008,"Q2"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",35212,2008,"Q2"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",151130,2008,"Q2"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",210206,2008,"Q2"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",193221,2008,"Q2"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",73068,2008,"Q2"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",137138,2008,"Q2"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",120153,2008,"Q2"
"Транспорт, складиране и пощи - общо","H",146299,2008,"Q2"
"Сухопътен транспорт ","H49",83154,2008,"Q2"
"Воден транспорт","H50",5566,2008,"Q2"
"Въздушен транспорт","H51",2564,2008,"Q2"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",35235,2008,"Q2"
"Пощенски и куриерски услуги","H53",19780,2008,"Q2"
"Хотелиерство и ресторантьорство","I",137444,2008,"Q2"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",52681,2008,"Q2"
"Издателска дейност","J58",6644,2008,"Q2"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",1505,2008,"Q2"
"Радио- и телевизионна дейност","J60",4265,2008,"Q2"
"Далекосъобщения","J61",19290,2008,"Q2"
"Дейности в областта на информационните технологии","J62",17873,2008,"Q2"
"Информационни услуги","J63",3104,2008,"Q2"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",55474,2008,"Q2"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",76987,2008,"Q2"
"Добивна промишленост","B",29381,2008,"Q3"
"Добив на въглища","B05",13269,2008,"Q3"
"Добив на метални руди","B07",6899,2008,"Q3"
"Добив на неметални материали и суровини","B08",8788,2008,"Q3"
"Преработваща промишленост","C",627549,2008,"Q3"
"Производство на хранителни продукти ","C10",87787,2008,"Q3"
"Производство на напитки","C11",17090,2008,"Q3"
"Производство на тютюневи изделия ","C12",4110,2008,"Q3"
"Производство на текстил и изделия от текстил, без  облекло","C13",16813,2008,"Q3"
"Производство на облекло","C14",138536,2008,"Q3"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",18785,2008,"Q3"
"Производство на дървен материал и изделия от него, без мебели","C16",19692,2008,"Q3"
"Производство на хартия, картон и изделия от хартия и картон","C17",10735,2008,"Q3"
"Печатна дейност и възпроизвеждане на записани носители","C18",9244,2008,"Q3"
"Производство на кокс и рафинирани нефтопродукти","C19",3326,2008,"Q3"
"Производство на химични продукти","C20",14859,2008,"Q3"
"Производство на лекарствени вещества и продукти","C21",7450,2008,"Q3"
"Производство на изделия от каучук и пластмаси","C22",27800,2008,"Q3"
"Производство на изделия от други неметални  минерални суровини","C23",31737,2008,"Q3"
"Производство на основни метали","C24",18970,2008,"Q3"
"Производство на метални изделия, без машини и оборудване ","C25",60839,2008,"Q3"
"Производство на компютърна  техника, електронни и оптични продукти","C26",10783,2008,"Q3"
"Производство на електрически съоръжения","C27",21233,2008,"Q3"
"Производство на машини и оборудване, с общо и специално предназначение","C28",36309,2008,"Q3"
"Производство на автомобили, ремаркета и полуремаркета","C29",11330,2008,"Q3"
"Производство на превозни средства, без автомобили","C30",6941,2008,"Q3"
"Производство на мебели","C31",26655,2008,"Q3"
"Производство, некласифицирано другаде ","C32",7284,2008,"Q3"
"Ремонт и инсталиране на машини и оборудване","C33",19241,2008,"Q3"
"Производство и разпределение на електрическа и топлоенергия и газ","D",33652,2008,"Q3"
"Събиране,пречистване и доставяне на води","Е36",18236,2008,"Q3"
"Продукти за междинно потребление","MIG_ING",198498,2008,"Q3"
"Енергийни продукти","MIG_NRG",68881,2008,"Q3"
"Инвестиционни продукти","MIG_CAG",111842,2008,"Q3"
"Потребителски дълготрайни продукти","MIG_DCOG",34844,2008,"Q3"
"Потребителски недълготрайни продукти","MIG_NDCOG",294753,2008,"Q3"
"Строителство","F",255890,2008,"Q3"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",38548,2008,"Q3"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",155644,2008,"Q3"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",224607,2008,"Q3"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",207400,2008,"Q3"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",76838,2008,"Q3"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",147769,2008,"Q3"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",130562,2008,"Q3"
"Транспорт, складиране и пощи - общо","H",150955,2008,"Q3"
"Сухопътен транспорт ","H49",86801,2008,"Q3"
"Воден транспорт","H50",5472,2008,"Q3"
"Въздушен транспорт","H51",2899,2008,"Q3"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",35949,2008,"Q3"
"Пощенски и куриерски услуги","H53",19834,2008,"Q3"
"Хотелиерство и ресторантьорство","I",130821,2008,"Q3"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",55022,2008,"Q3"
"Издателска дейност","J58",6923,2008,"Q3"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",1511,2008,"Q3"
"Радио- и телевизионна дейност","J60",4411,2008,"Q3"
"Далекосъобщения","J61",19343,2008,"Q3"
"Дейности в областта на информационните технологии","J62",19388,2008,"Q3"
"Информационни услуги","J63",3446,2008,"Q3"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",58734,2008,"Q3"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",83585,2008,"Q3"
"Добивна промишленост","B",28123,2008,"Q4"
"Добив на въглища","B05",13337,2008,"Q4"
"Добив на метални руди","B07",6309,2008,"Q4"
"Добив на неметални материали и суровини","B08",8056,2008,"Q4"
"Преработваща промишленост","C",599362,2008,"Q4"
"Производство на хранителни продукти ","C10",85057,2008,"Q4"
"Производство на напитки","C11",15363,2008,"Q4"
"Производство на тютюневи изделия ","C12",4166,2008,"Q4"
"Производство на текстил и изделия от текстил, без  облекло","C13",15376,2008,"Q4"
"Производство на облекло","C14",127458,2008,"Q4"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",17632,2008,"Q4"
"Производство на дървен материал и изделия от него, без мебели","C16",18386,2008,"Q4"
"Производство на хартия, картон и изделия от хартия и картон","C17",10587,2008,"Q4"
"Печатна дейност и възпроизвеждане на записани носители","C18",9132,2008,"Q4"
"Производство на кокс и рафинирани нефтопродукти","C19",3310,2008,"Q4"
"Производство на химични продукти","C20",14011,2008,"Q4"
"Производство на лекарствени вещества и продукти","C21",7164,2008,"Q4"
"Производство на изделия от каучук и пластмаси","C22",27448,2008,"Q4"
"Производство на изделия от други неметални  минерални суровини","C23",29391,2008,"Q4"
"Производство на основни метали","C24",18485,2008,"Q4"
"Производство на метални изделия, без машини и оборудване ","C25",59632,2008,"Q4"
"Производство на компютърна  техника, електронни и оптични продукти","C26",10125,2008,"Q4"
"Производство на електрически съоръжения","C27",19639,2008,"Q4"
"Производство на машини и оборудване, с общо и специално предназначение","C28",36202,2008,"Q4"
"Производство на автомобили, ремаркета и полуремаркета","C29",10823,2008,"Q4"
"Производство на превозни средства, без автомобили","C30",6943,2008,"Q4"
"Производство на мебели","C31",27685,2008,"Q4"
"Производство, некласифицирано другаде ","C32",7454,2008,"Q4"
"Ремонт и инсталиране на машини и оборудване","C33",17893,2008,"Q4"
"Производство и разпределение на електрическа и топлоенергия и газ","D",33720,2008,"Q4"
"Събиране,пречистване и доставяне на води","Е36",18182,2008,"Q4"
"Продукти за междинно потребление","MIG_ING",188830,2008,"Q4"
"Енергийни продукти","MIG_NRG",68942,2008,"Q4"
"Инвестиционни продукти","MIG_CAG",108874,2008,"Q4"
"Потребителски дълготрайни продукти","MIG_DCOG",35781,2008,"Q4"
"Потребителски недълготрайни продукти","MIG_NDCOG",276960,2008,"Q4"
"Строителство","F",250717,2008,"Q4"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",38034,2008,"Q4"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",155082,2008,"Q4"
