"unit","wstatus","nace_r2","geo","time","values"
"PC","EMP","K","BG314",2013,NA
"PC","EMP","K","BG315",2013,NA
"PC","EMP","K","BG32",2013,NA
"PC","EMP","K","BG321",2013,NA
"PC","EMP","K","BG322",2013,NA
"PC","EMP","K","BG323",2013,NA
"PC","EMP","K","BG324",2013,NA
"PC","EMP","K","BG325",2013,NA
"PC","EMP","K","BG33",2013,NA
"PC","EMP","K","BG331",2013,NA
"PC","EMP","K","BG332",2013,NA
"PC","EMP","K","BG333",2013,NA
"PC","EMP","K","BG334",2013,NA
"PC","EMP","K","BG34",2013,NA
"PC","EMP","K","BG341",2013,NA
"PC","EMP","K","BG342",2013,NA
"PC","EMP","K","BG343",2013,NA
"PC","EMP","K","BG344",2013,NA
"PC","EMP","K","BG4",2013,NA
"PC","EMP","K","BG41",2013,NA
"PC","EMP","K","BG411",2013,NA
"PC","EMP","K","BG412",2013,NA
"PC","EMP","K","BG413",2013,NA
"PC","EMP","K","BG414",2013,NA
"PC","EMP","K","BG415",2013,NA
"PC","EMP","K","BG42",2013,NA
"PC","EMP","K","BG421",2013,NA
"PC","EMP","K","BG422",2013,NA
"PC","EMP","K","BG423",2013,NA
"PC","EMP","K","BG424",2013,NA
"PC","EMP","K","BG425",2013,NA
"PC","EMP","K-N","BG",2013,NA
"PC","EMP","K-N","BG3",2013,NA
"PC","EMP","K-N","BG31",2013,NA
"PC","EMP","K-N","BG311",2013,NA
"PC","EMP","K-N","BG312",2013,NA
"PC","EMP","K-N","BG313",2013,NA
"PC","EMP","K-N","BG314",2013,NA
"PC","EMP","K-N","BG315",2013,NA
"PC","EMP","K-N","BG32",2013,NA
"PC","EMP","K-N","BG321",2013,NA
"PC","EMP","K-N","BG322",2013,NA
"PC","EMP","K-N","BG323",2013,NA
"PC","EMP","K-N","BG324",2013,NA
"PC","EMP","K-N","BG325",2013,NA
"PC","EMP","K-N","BG33",2013,NA
"PC","EMP","K-N","BG331",2013,NA
"PC","EMP","K-N","BG332",2013,NA
"PC","EMP","K-N","BG333",2013,NA
"PC","EMP","K-N","BG334",2013,NA
"PC","EMP","K-N","BG34",2013,NA
"PC","EMP","K-N","BG341",2013,NA
"PC","EMP","K-N","BG342",2013,NA
"PC","EMP","K-N","BG343",2013,NA
"PC","EMP","K-N","BG344",2013,NA
"PC","EMP","K-N","BG4",2013,NA
"PC","EMP","K-N","BG41",2013,NA
"PC","EMP","K-N","BG411",2013,NA
"PC","EMP","K-N","BG412",2013,NA
"PC","EMP","K-N","BG413",2013,NA
"PC","EMP","K-N","BG414",2013,NA
"PC","EMP","K-N","BG415",2013,NA
"PC","EMP","K-N","BG42",2013,NA
"PC","EMP","K-N","BG421",2013,NA
"PC","EMP","K-N","BG422",2013,NA
"PC","EMP","K-N","BG423",2013,NA
"PC","EMP","K-N","BG424",2013,NA
"PC","EMP","K-N","BG425",2013,NA
"PC","EMP","L","BG",2013,NA
"PC","EMP","L","BG3",2013,NA
"PC","EMP","L","BG31",2013,NA
"PC","EMP","L","BG311",2013,NA
"PC","EMP","L","BG312",2013,NA
"PC","EMP","L","BG313",2013,NA
"PC","EMP","L","BG314",2013,NA
"PC","EMP","L","BG315",2013,NA
"PC","EMP","L","BG32",2013,NA
"PC","EMP","L","BG321",2013,NA
"PC","EMP","L","BG322",2013,NA
"PC","EMP","L","BG323",2013,NA
"PC","EMP","L","BG324",2013,NA
"PC","EMP","L","BG325",2013,NA
"PC","EMP","L","BG33",2013,NA
"PC","EMP","L","BG331",2013,NA
"PC","EMP","L","BG332",2013,NA
"PC","EMP","L","BG333",2013,NA
"PC","EMP","L","BG334",2013,NA
"PC","EMP","L","BG34",2013,NA
"PC","EMP","L","BG341",2013,NA
"PC","EMP","L","BG342",2013,NA
"PC","EMP","L","BG343",2013,NA
"PC","EMP","L","BG344",2013,NA
"PC","EMP","L","BG4",2013,NA
"PC","EMP","L","BG41",2013,NA
"PC","EMP","L","BG411",2013,NA
"PC","EMP","L","BG412",2013,NA
"PC","EMP","L","BG413",2013,NA
"PC","EMP","L","BG414",2013,NA
"PC","EMP","L","BG415",2013,NA
"PC","EMP","L","BG42",2013,NA
"PC","EMP","L","BG421",2013,NA
"PC","EMP","L","BG422",2013,NA
"PC","EMP","L","BG423",2013,NA
"PC","EMP","L","BG424",2013,NA
"PC","EMP","L","BG425",2013,NA
"PC","EMP","M_N","BG",2013,NA
"PC","EMP","M_N","BG3",2013,NA
"PC","EMP","M_N","BG31",2013,NA
"PC","EMP","M_N","BG311",2013,NA
"PC","EMP","M_N","BG312",2013,NA
"PC","EMP","M_N","BG313",2013,NA
"PC","EMP","M_N","BG314",2013,NA
"PC","EMP","M_N","BG315",2013,NA
"PC","EMP","M_N","BG32",2013,NA
"PC","EMP","M_N","BG321",2013,NA
"PC","EMP","M_N","BG322",2013,NA
"PC","EMP","M_N","BG323",2013,NA
"PC","EMP","M_N","BG324",2013,NA
"PC","EMP","M_N","BG325",2013,NA
"PC","EMP","M_N","BG33",2013,NA
"PC","EMP","M_N","BG331",2013,NA
"PC","EMP","M_N","BG332",2013,NA
"PC","EMP","M_N","BG333",2013,NA
"PC","EMP","M_N","BG334",2013,NA
"PC","EMP","M_N","BG34",2013,NA
"PC","EMP","M_N","BG341",2013,NA
"PC","EMP","M_N","BG342",2013,NA
"PC","EMP","M_N","BG343",2013,NA
"PC","EMP","M_N","BG344",2013,NA
"PC","EMP","M_N","BG4",2013,NA
"PC","EMP","M_N","BG41",2013,NA
"PC","EMP","M_N","BG411",2013,NA
"PC","EMP","M_N","BG412",2013,NA
"PC","EMP","M_N","BG413",2013,NA
"PC","EMP","M_N","BG414",2013,NA
"PC","EMP","M_N","BG415",2013,NA
"PC","EMP","M_N","BG42",2013,NA
"PC","EMP","M_N","BG421",2013,NA
"PC","EMP","M_N","BG422",2013,NA
"PC","EMP","M_N","BG423",2013,NA
"PC","EMP","M_N","BG424",2013,NA
"PC","EMP","M_N","BG425",2013,NA
"PC","EMP","O-Q","BG",2013,NA
"PC","EMP","O-Q","BG3",2013,NA
"PC","EMP","O-Q","BG31",2013,NA
"PC","EMP","O-Q","BG311",2013,NA
"PC","EMP","O-Q","BG312",2013,NA
"PC","EMP","O-Q","BG313",2013,NA
"PC","EMP","O-Q","BG314",2013,NA
"PC","EMP","O-Q","BG315",2013,NA
"PC","EMP","O-Q","BG32",2013,NA
"PC","EMP","O-Q","BG321",2013,NA
"PC","EMP","O-Q","BG322",2013,NA
"PC","EMP","O-Q","BG323",2013,NA
"PC","EMP","O-Q","BG324",2013,NA
"PC","EMP","O-Q","BG325",2013,NA
"PC","EMP","O-Q","BG33",2013,NA
"PC","EMP","O-Q","BG331",2013,NA
"PC","EMP","O-Q","BG332",2013,NA
"PC","EMP","O-Q","BG333",2013,NA
"PC","EMP","O-Q","BG334",2013,NA
"PC","EMP","O-Q","BG34",2013,NA
"PC","EMP","O-Q","BG341",2013,NA
"PC","EMP","O-Q","BG342",2013,NA
"PC","EMP","O-Q","BG343",2013,NA
"PC","EMP","O-Q","BG344",2013,NA
"PC","EMP","O-Q","BG4",2013,NA
"PC","EMP","O-Q","BG41",2013,NA
"PC","EMP","O-Q","BG411",2013,NA
"PC","EMP","O-Q","BG412",2013,NA
"PC","EMP","O-Q","BG413",2013,NA
"PC","EMP","O-Q","BG414",2013,NA
"PC","EMP","O-Q","BG415",2013,NA
"PC","EMP","O-Q","BG42",2013,NA
"PC","EMP","O-Q","BG421",2013,NA
"PC","EMP","O-Q","BG422",2013,NA
"PC","EMP","O-Q","BG423",2013,NA
"PC","EMP","O-Q","BG424",2013,NA
"PC","EMP","O-Q","BG425",2013,NA
"PC","EMP","O-U","BG",2013,NA
"PC","EMP","O-U","BG3",2013,NA
"PC","EMP","O-U","BG31",2013,NA
"PC","EMP","O-U","BG311",2013,NA
"PC","EMP","O-U","BG312",2013,NA
"PC","EMP","O-U","BG313",2013,NA
"PC","EMP","O-U","BG314",2013,NA
"PC","EMP","O-U","BG315",2013,NA
"PC","EMP","O-U","BG32",2013,NA
"PC","EMP","O-U","BG321",2013,NA
"PC","EMP","O-U","BG322",2013,NA
"PC","EMP","O-U","BG323",2013,NA
"PC","EMP","O-U","BG324",2013,NA
"PC","EMP","O-U","BG325",2013,NA
"PC","EMP","O-U","BG33",2013,NA
"PC","EMP","O-U","BG331",2013,NA
"PC","EMP","O-U","BG332",2013,NA
"PC","EMP","O-U","BG333",2013,NA
"PC","EMP","O-U","BG334",2013,NA
"PC","EMP","O-U","BG34",2013,NA
"PC","EMP","O-U","BG341",2013,NA
"PC","EMP","O-U","BG342",2013,NA
