"currency","unit","sizeclas","nace_r2","lcstruct","geo","time","values"
"EUR","P_SAL_H","10-49","J61","D01","BG",2012,2.62
"EUR","P_SAL_H","10-49","J61","D111","BG",2012,2.21
"EUR","P_SAL_H","10-49","J61","D1111","BG",2012,2.04
"EUR","P_SAL_H","10-49","J62","D01","BG",2012,7.85
"EUR","P_SAL_H","10-49","J62","D111","BG",2012,6.98
"EUR","P_SAL_H","10-49","J62","D1111","BG",2012,6.49
"EUR","P_SAL_H","10-49","J63","D01","BG",2012,5.43
"EUR","P_SAL_H","10-49","J63","D111","BG",2012,4.81
"EUR","P_SAL_H","10-49","J63","D1111","BG",2012,4.5
"EUR","P_SAL_H","10-49","K","D01","BG",2012,6.01
"EUR","P_SAL_H","10-49","K","D111","BG",2012,5.31
"EUR","P_SAL_H","10-49","K","D1111","BG",2012,4.91
"EUR","P_SAL_H","10-49","K-N","D01","BG",2012,3.87
"EUR","P_SAL_H","10-49","K-N","D111","BG",2012,3.38
"EUR","P_SAL_H","10-49","K-N","D1111","BG",2012,3.14
"EUR","P_SAL_H","10-49","K64","D01","BG",2012,6.31
"EUR","P_SAL_H","10-49","K64","D111","BG",2012,5.59
"EUR","P_SAL_H","10-49","K64","D1111","BG",2012,5.17
"EUR","P_SAL_H","10-49","K65","D01","BG",2012,7.94
"EUR","P_SAL_H","10-49","K65","D111","BG",2012,6.99
"EUR","P_SAL_H","10-49","K65","D1111","BG",2012,6.32
"EUR","P_SAL_H","10-49","K66","D01","BG",2012,4.82
"EUR","P_SAL_H","10-49","K66","D111","BG",2012,4.24
"EUR","P_SAL_H","10-49","K66","D1111","BG",2012,3.97
"EUR","P_SAL_H","10-49","L","D01","BG",2012,3.37
"EUR","P_SAL_H","10-49","L","D111","BG",2012,2.89
"EUR","P_SAL_H","10-49","L","D1111","BG",2012,2.65
"EUR","P_SAL_H","10-49","L68","D01","BG",2012,3.37
"EUR","P_SAL_H","10-49","L68","D111","BG",2012,2.89
"EUR","P_SAL_H","10-49","L68","D1111","BG",2012,2.65
"EUR","P_SAL_H","10-49","M","D01","BG",2012,5.43
"EUR","P_SAL_H","10-49","M","D111","BG",2012,4.8
"EUR","P_SAL_H","10-49","M","D1111","BG",2012,4.47
"EUR","P_SAL_H","10-49","M69","D01","BG",2012,4.29
"EUR","P_SAL_H","10-49","M69","D111","BG",2012,3.71
"EUR","P_SAL_H","10-49","M69","D1111","BG",2012,3.46
"EUR","P_SAL_H","10-49","M70","D01","BG",2012,9.31
"EUR","P_SAL_H","10-49","M70","D111","BG",2012,8.54
"EUR","P_SAL_H","10-49","M70","D1111","BG",2012,8.11
"EUR","P_SAL_H","10-49","M71","D01","BG",2012,5.41
"EUR","P_SAL_H","10-49","M71","D111","BG",2012,4.72
"EUR","P_SAL_H","10-49","M71","D1111","BG",2012,4.38
"EUR","P_SAL_H","10-49","M72","D01","BG",2012,3.64
"EUR","P_SAL_H","10-49","M72","D111","BG",2012,3.08
"EUR","P_SAL_H","10-49","M72","D1111","BG",2012,2.77
"EUR","P_SAL_H","10-49","M73","D01","BG",2012,5.29
"EUR","P_SAL_H","10-49","M73","D111","BG",2012,4.69
"EUR","P_SAL_H","10-49","M73","D1111","BG",2012,4.37
"EUR","P_SAL_H","10-49","M74","D01","BG",2012,5.3
"EUR","P_SAL_H","10-49","M74","D111","BG",2012,4.69
"EUR","P_SAL_H","10-49","M74","D1111","BG",2012,4.37
"EUR","P_SAL_H","10-49","M75","D01","BG",2012,1.86
