"unit","sex","nace_r1","worktime","geo","time","values"
"THS","M","NRP","FT","BG","2008Q4",1772.6
"THS","M","NRP","NRP","BG","2008Q4",NA
"THS","M","NRP","PT","BG","2008Q4",29.7
"THS","M","NRP","TOTAL","BG","2008Q4",1802.3
"THS","M","O","FT","BG","2008Q4",NA
"THS","M","O","NRP","BG","2008Q4",NA
"THS","M","O","PT","BG","2008Q4",NA
"THS","M","O","TOTAL","BG","2008Q4",NA
"THS","M","P","FT","BG","2008Q4",NA
"THS","M","P","NRP","BG","2008Q4",NA
"THS","M","P","PT","BG","2008Q4",NA
"THS","M","P","TOTAL","BG","2008Q4",NA
"THS","M","Q","FT","BG","2008Q4",NA
"THS","M","Q","NRP","BG","2008Q4",NA
"THS","M","Q","TOTAL","BG","2008Q4",NA
"THS","M","TOTAL","FT","BG","2008Q4",1772.6
"THS","M","TOTAL","NRP","BG","2008Q4",NA
"THS","M","TOTAL","PT","BG","2008Q4",29.7
"THS","M","TOTAL","TOTAL","BG","2008Q4",1802.3
"THS","T","A","FT","BG","2008Q4",NA
"THS","T","A","NRP","BG","2008Q4",NA
"THS","T","A","PT","BG","2008Q4",NA
"THS","T","A","TOTAL","BG","2008Q4",NA
"THS","T","A_B","FT","BG","2008Q4",NA
"THS","T","A_B","NRP","BG","2008Q4",NA
"THS","T","A_B","PT","BG","2008Q4",NA
"THS","T","A_B","TOTAL","BG","2008Q4",NA
"THS","T","B","FT","BG","2008Q4",NA
"THS","T","B","NRP","BG","2008Q4",NA
"THS","T","B","PT","BG","2008Q4",NA
"THS","T","B","TOTAL","BG","2008Q4",NA
"THS","T","C","FT","BG","2008Q4",NA
"THS","T","C","NRP","BG","2008Q4",NA
"THS","T","C","PT","BG","2008Q4",NA
"THS","T","C","TOTAL","BG","2008Q4",NA
"THS","T","C-F","FT","BG","2008Q4",NA
"THS","T","C-F","NRP","BG","2008Q4",NA
"THS","T","C-F","PT","BG","2008Q4",NA
