sektori,zaplata,year,trimesechie
stroitelstwo,208,2001,2
tyrgowiq,183,2001,2
hoteli,163,2001,2
transport,298,2001,2
finansi,491,2001,2
imoti,231,2001,2
dyrvawnouprawlenie,320,2001,2
obrazowanie,248,2001,2
zdraweopazwane,222,2001,2
drugi,216,2001,2
obshto,246,2001,3
selsko,202,2001,3
dobiwna,387,2001,3
prerabodwashta,235,2001,3
energiq i woda,446,2001,3
stroitelstwo,211,2001,3
tyrgowiq,183,2001,3
hoteli,165,2001,3
transport,308,2001,3
finansi,484,2001,3
imoti,234,2001,3
dyrvawnouprawlenie,330,2001,3
obrazowanie,233,2001,3
zdraweopazwane,220,2001,3
drugi,218,2001,3
obshto,254,2001,4
selsko,200,2001,4
dobiwna,406,2001,4
prerabodwashta,238,2001,4
energiq i woda,464,2001,4
stroitelstwo,220,2001,4
tyrgowiq,197,2001,4
hoteli,162,2001,4
transport,316,2001,4
finansi,540,2001,4
imoti,245,2001,4
dyrvawnouprawlenie,334,2001,4
obrazowanie,235,2001,4
zdraweopazwane,227,2001,4
drugi,226,2001,4
obshto,249,2002,1
selsko,180,2002,1
dobiwna,416,2002,1
prerabodwashta,234,2002,1
energiq i woda,441,2002,1
stroitelstwo,198,2002,1
tyrgowiq,196,2002,1
hoteli,171,2002,1
transport,294,2002,1
finansi,503,2002,1
imoti,244,2002,1
dyrvawnouprawlenie,335,2002,1
obrazowanie,238,2002,1
zdraweopazwane,227,2002,1
drugi,231,2002,1
obshto,256,2002,2
selsko,187,2002,2
dobiwna,419,2002,2
prerabodwashta,240,2002,2
energiq i woda,453,2002,2
stroitelstwo,206,2002,2
tyrgowiq,193,2002,2
hoteli,159,2002,2
transport,305,2002,2
finansi,545,2002,2
imoti,246,2002,2
dyrvawnouprawlenie,349,2002,2
obrazowanie,264,2002,2
zdraweopazwane,239,2002,2
drugi,238,2002,2
obshto,261,2002,3
selsko,190,2002,3
dobiwna,416,2002,3
prerabodwashta,243,2002,3
energiq i woda,459,2002,3
stroitelstwo,208,2002,3
