sektori,naeti,year,month
finansi,27623,2001,12
imoti,100786,2001,12
dyrvawnouprawlenie,96364,2001,12
obrazowanie,204005,2001,12
zdraweopazwane,133047,2001,12
drugi,63781,2001,12
obshto,1904439,2002,1
selsko,64076,2002,1
dobiwna,33837,2002,1
prerabodwashta,580204,2002,1
energiq i woda,58905,2002,1
stroitelstwo,92413,2002,1
tyrgowiq,228032,2002,1
hoteli,51463,2002,1
transport,162710,2002,1
finansi,30369,2002,1
imoti,102383,2002,1
dyrvawnouprawlenie,97949,2002,1
obrazowanie,202958,2002,1
zdraweopazwane,132932,2002,1
drugi,66208,2002,1
obshto,1907412,2002,2
selsko,68160,2002,2
dobiwna,33624,2002,2
prerabodwashta,577963,2002,2
energiq i woda,58879,2002,2
stroitelstwo,92820,2002,2
tyrgowiq,227933,2002,2
hoteli,50956,2002,2
transport,163715,2002,2
finansi,30433,2002,2
imoti,102201,2002,2
dyrvawnouprawlenie,98349,2002,2
obrazowanie,203596,2002,2
zdraweopazwane,132977,2002,2
drugi,65806,2002,2
obshto,1911829,2002,3
selsko,73985,2002,3
dobiwna,33579,2002,3
prerabodwashta,576493,2002,3
energiq i woda,58957,2002,3
stroitelstwo,93923,2002,3
tyrgowiq,227864,2002,3
hoteli,51148,2002,3
transport,163407,2002,3
finansi,30436,2002,3
imoti,101816,2002,3
dyrvawnouprawlenie,98817,2002,3
obrazowanie,203889,2002,3
zdraweopazwane,132274,2002,3
drugi,65241,2002,3
obshto,1928135,2002,4
selsko,74300,2002,4
dobiwna,32886,2002,4
prerabodwashta,579754,2002,4
energiq i woda,58787,2002,4
stroitelstwo,94098,2002,4
tyrgowiq,236777,2002,4
hoteli,56754,2002,4
transport,165056,2002,4
finansi,29529,2002,4
imoti,104872,2002,4
dyrvawnouprawlenie,98054,2002,4
obrazowanie,204444,2002,4
zdraweopazwane,132184,2002,4
drugi,60640,2002,4
obshto,1934001,2002,5
selsko,77648,2002,5
dobiwna,32757,2002,5
prerabodwashta,577877,2002,5
energiq i woda,58897,2002,5
stroitelstwo,95379,2002,5
tyrgowiq,236635,2002,5
hoteli,62810,2002,5
transport,165474,2002,5
finansi,29301,2002,5
imoti,105053,2002,5
dyrvawnouprawlenie,97545,2002,5
obrazowanie,203577,2002,5
zdraweopazwane,132461,2002,5
drugi,58587,2002,5
obshto,1941057,2002,6
selsko,83468,2002,6
dobiwna,32611,2002,6
prerabodwashta,577832,2002,6
energiq i woda,58957,2002,6
stroitelstwo,96170,2002,6
tyrgowiq,237863,2002,6
hoteli,64348,2002,6
transport,165364,2002,6
finansi,29224,2002,6
imoti,104873,2002,6
dyrvawnouprawlenie,97630,2002,6
obrazowanie,201048,2002,6
zdraweopazwane,133022,2002,6
drugi,58647,2002,6
obshto,1969447,2002,7
selsko,80855,2002,7
dobiwna,33180,2002,7
prerabodwashta,592496,2002,7
energiq i woda,59225,2002,7
stroitelstwo,98783,2002,7
tyrgowiq,252035,2002,7
hoteli,66467,2002,7
transport,165282,2002,7
finansi,29252,2002,7
imoti,103380,2002,7
dyrvawnouprawlenie,97710,2002,7
obrazowanie,194819,2002,7
zdraweopazwane,134113,2002,7
drugi,61850,2002,7
obshto,1963176,2002,8
selsko,79694,2002,8
dobiwna,32973,2002,8
prerabodwashta,590737,2002,8
energiq i woda,59196,2002,8
stroitelstwo,99011,2002,8
tyrgowiq,251412,2002,8
hoteli,65949,2002,8
transport,164646,2002,8
finansi,29329,2002,8
imoti,103598,2002,8
dyrvawnouprawlenie,97493,2002,8
obrazowanie,192501,2002,8
zdraweopazwane,134103,2002,8
drugi,62534,2002,8
obshto,1964232,2002,9
selsko,80005,2002,9
dobiwna,32821,2002,9
prerabodwashta,588966,2002,9
energiq i woda,59331,2002,9
stroitelstwo,99652,2002,9
tyrgowiq,250531,2002,9
hoteli,64111,2002,9
transport,163240,2002,9
finansi,29128,2002,9
imoti,103882,2002,9
dyrvawnouprawlenie,97766,2002,9
obrazowanie,196246,2002,9
zdraweopazwane,133684,2002,9
drugi,64869,2002,9
obshto,1972368,2002,10
selsko,80128,2002,10
dobiwna,34442,2002,10
prerabodwashta,587430,2002,10
energiq i woda,57633,2002,10
stroitelstwo,100802,2002,10
tyrgowiq,250255,2002,10
hoteli,60344,2002,10
transport,163305,2002,10
finansi,27978,2002,10
imoti,112032,2002,10
dyrvawnouprawlenie,98616,2002,10
obrazowanie,198653,2002,10
zdraweopazwane,134431,2002,10
drugi,66319,2002,10
obshto,1978177,2002,11
selsko,75695,2002,11
dobiwna,34141,2002,11
prerabodwashta,585625,2002,11
energiq i woda,57807,2002,11
stroitelstwo,100594,2002,11
tyrgowiq,252491,2002,11
hoteli,58009,2002,11
transport,162782,2002,11
finansi,27839,2002,11
imoti,113145,2002,11
dyrvawnouprawlenie,98882,2002,11
obrazowanie,198900,2002,11
zdraweopazwane,135561,2002,11
drugi,76706,2002,11
obshto,1973357,2002,12
selsko,68488,2002,12
dobiwna,33604,2002,12
prerabodwashta,578787,2002,12
energiq i woda,57650,2002,12
stroitelstwo,98769,2002,12
tyrgowiq,252858,2002,12
hoteli,58535,2002,12
transport,162058,2002,12
finansi,28064,2002,12
imoti,114883,2002,12
dyrvawnouprawlenie,98059,2002,12
obrazowanie,197972,2002,12
zdraweopazwane,135040,2002,12
drugi,88590,2002,12
obshto,1966409,2003,1
selsko,66568,2003,1
dobiwna,32792,2003,1
prerabodwashta,588003,2003,1
energiq i woda,58370,2003,1
stroitelstwo,91921,2003,1
tyrgowiq,255842,2003,1
hoteli,60213,2003,1
transport,163952,2003,1
finansi,29091,2003,1
imoti,105587,2003,1
dyrvawnouprawlenie,103291,2003,1
obrazowanie,197992,2003,1
zdraweopazwane,133286,2003,1
drugi,79501,2003,1
obshto,2000342,2003,2
selsko,67170,2003,2
dobiwna,32425,2003,2
prerabodwashta,590549,2003,2
energiq i woda,58428,2003,2
stroitelstwo,92778,2003,2
tyrgowiq,257199,2003,2
hoteli,61676,2003,2
transport,163973,2003,2
finansi,28859,2003,2
imoti,109185,2003,2
dyrvawnouprawlenie,104294,2003,2
obrazowanie,198582,2003,2
zdraweopazwane,134383,2003,2
drugi,100841,2003,2
obshto,2018247,2003,3
selsko,74884,2003,3
dobiwna,32354,2003,3
prerabodwashta,590111,2003,3
energiq i woda,58508,2003,3
stroitelstwo,95100,2003,3
tyrgowiq,256549,2003,3
hoteli,62138,2003,3
transport,163458,2003,3
finansi,28620,2003,3
imoti,110492,2003,3
dyrvawnouprawlenie,107190,2003,3
obrazowanie,198438,2003,3
zdraweopazwane,134840,2003,3
drugi,105565,2003,3
obshto,2044893,2003,4
selsko,81752,2003,4
dobiwna,32300,2003,4
prerabodwashta,594247,2003,4
energiq i woda,58418,2003,4
stroitelstwo,100457,2003,4
tyrgowiq,255088,2003,4
hoteli,66654,2003,4
transport,163534,2003,4
finansi,27651,2003,4
imoti,113978,2003,4
dyrvawnouprawlenie,110769,2003,4
obrazowanie,197908,2003,4
zdraweopazwane,134509,2003,4
drugi,107628,2003,4
obshto,2057766,2003,5
selsko,83154,2003,5
dobiwna,32429,2003,5
prerabodwashta,590291,2003,5
energiq i woda,58605,2003,5
stroitelstwo,102222,2003,5
tyrgowiq,254030,2003,5
hoteli,81562,2003,5
transport,163672,2003,5
finansi,27713,2003,5
imoti,113057,2003,5
dyrvawnouprawlenie,111060,2003,5
obrazowanie,197476,2003,5
zdraweopazwane,134810,2003,5
drugi,107685,2003,5
obshto,2065991,2003,6
selsko,84196,2003,6
dobiwna,32264,2003,6
prerabodwashta,588937,2003,6
energiq i woda,58646,2003,6
stroitelstwo,103126,2003,6
tyrgowiq,253789,2003,6
hoteli,89731,2003,6
transport,162738,2003,6
finansi,27556,2003,6
imoti,113706,2003,6
dyrvawnouprawlenie,111242,2003,6
obrazowanie,195484,2003,6
zdraweopazwane,135086,2003,6
drugi,109490,2003,6
obshto,2137397,2003,7
selsko,81132,2003,7
dobiwna,32169,2003,7
prerabodwashta,589406,2003,7
energiq i woda,58845,2003,7
stroitelstwo,113917,2003,7
tyrgowiq,299160,2003,7
hoteli,94165,2003,7
transport,165435,2003,7
finansi,27864,2003,7
imoti,119525,2003,7
dyrvawnouprawlenie,113113,2003,7
obrazowanie,191424,2003,7
zdraweopazwane,135477,2003,7
drugi,115765,2003,7
obshto,2120412,2003,8
selsko,78688,2003,8
dobiwna,32002,2003,8
prerabodwashta,582980,2003,8
energiq i woda,58751,2003,8
stroitelstwo,114279,2003,8
tyrgowiq,296377,2003,8
hoteli,90433,2003,8
transport,164298,2003,8
finansi,27724,2003,8
imoti,119654,2003,8
dyrvawnouprawlenie,113694,2003,8
obrazowanie,189869,2003,8
zdraweopazwane,135554,2003,8
drugi,116109,2003,8
obshto,2107736,2003,9
selsko,78488,2003,9
dobiwna,31857,2003,9
prerabodwashta,578867,2003,9
energiq i woda,58579,2003,9
stroitelstwo,113983,2003,9
tyrgowiq,293609,2003,9
hoteli,83539,2003,9
transport,163040,2003,9
finansi,27602,2003,9
imoti,118845,2003,9
dyrvawnouprawlenie,113936,2003,9
obrazowanie,195094,2003,9
zdraweopazwane,135533,2003,9
drugi,114764,2003,9
obshto,2177785,2003,10
selsko,82460,2003,10
dobiwna,31750,2003,10
prerabodwashta,616514,2003,10
energiq i woda,58646,2003,10
stroitelstwo,120005,2003,10
tyrgowiq,301403,2003,10
hoteli,81518,2003,10
transport,165215,2003,10
finansi,28756,2003,10
imoti,127806,2003,10
dyrvawnouprawlenie,115132,2003,10
obrazowanie,196718,2003,10
zdraweopazwane,135509,2003,10
drugi,116353,2003,10
obshto,2148702,2003,11
selsko,75629,2003,11
dobiwna,31545,2003,11
prerabodwashta,612045,2003,11
energiq i woda,58579,2003,11
stroitelstwo,117673,2003,11
tyrgowiq,299002,2003,11
hoteli,73736,2003,11
transport,163454,2003,11
finansi,28681,2003,11
imoti,125961,2003,11
dyrvawnouprawlenie,115052,2003,11
obrazowanie,197449,2003,11
zdraweopazwane,135654,2003,11
drugi,114242,2003,11
obshto,2102561,2003,12
selsko,65854,2003,12
dobiwna,31039,2003,12
prerabodwashta,597047,2003,12
energiq i woda,58500,2003,12
stroitelstwo,112326,2003,12
tyrgowiq,297356,2003,12
hoteli,72194,2003,12
transport,161903,2003,12
finansi,28785,2003,12
imoti,122553,2003,12
dyrvawnouprawlenie,111840,2003,12
obrazowanie,196271,2003,12
zdraweopazwane,135240,2003,12
drugi,111653,2003,12
obshto,2095675,2004,1
selsko,61449,2004,1
dobiwna,31124,2004,1
prerabodwashta,597567,2004,1
energiq i woda,58180,2004,1
stroitelstwo,108205,2004,1
tyrgowiq,297129,2004,1
hoteli,71749,2004,1
transport,161101,2004,1
finansi,28835,2004,1
imoti,121865,2004,1
dyrvawnouprawlenie,112161,2004,1
obrazowanie,197566,2004,1
zdraweopazwane,134872,2004,1
drugi,113872,2004,1
obshto,2109524,2004,2
selsko,62606,2004,2
dobiwna,31009,2004,2
prerabodwashta,599674,2004,2
energiq i woda,58221,2004,2
stroitelstwo,108941,2004,2
tyrgowiq,298153,2004,2
hoteli,71957,2004,2
transport,160929,2004,2
finansi,28903,2004,2
imoti,123001,2004,2
dyrvawnouprawlenie,113781,2004,2
obrazowanie,197933,2004,2
zdraweopazwane,135462,2004,2
drugi,118954,2004,2
obshto,2124639,2004,3
selsko,68917,2004,3
dobiwna,30855,2004,3
prerabodwashta,598962,2004,3
energiq i woda,58110,2004,3
stroitelstwo,110598,2004,3
tyrgowiq,298151,2004,3
hoteli,72524,2004,3
transport,160679,2004,3
finansi,29054,2004,3
imoti,124249,2004,3
dyrvawnouprawlenie,116648,2004,3
obrazowanie,198070,2004,3
zdraweopazwane,135902,2004,3
drugi,121920,2004,3
obshto,2166242,2004,4
selsko,72941,2004,4
dobiwna,30628,2004,4
prerabodwashta,602489,2004,4
energiq i woda,58195,2004,4
stroitelstwo,121057,2004,4
tyrgowiq,306779,2004,4
hoteli,73819,2004,4
transport,165224,2004,4
finansi,28825,2004,4
imoti,128838,2004,4
dyrvawnouprawlenie,118791,2004,4
obrazowanie,198281,2004,4
zdraweopazwane,137672,2004,4
drugi,122703,2004,4
obshto,2173868,2004,5
selsko,74159,2004,5
dobiwna,30503,2004,5
prerabodwashta,599332,2004,5
energiq i woda,58255,2004,5
stroitelstwo,121527,2004,5
tyrgowiq,306114,2004,5
hoteli,80290,2004,5
transport,166551,2004,5
finansi,29186,2004,5
imoti,128453,2004,5
dyrvawnouprawlenie,119984,2004,5
obrazowanie,197651,2004,5
zdraweopazwane,138074,2004,5
drugi,123789,2004,5
obshto,2180858,2004,6
selsko,75938,2004,6
dobiwna,30397,2004,6
prerabodwashta,598045,2004,6
energiq i woda,58421,2004,6
stroitelstwo,121155,2004,6
tyrgowiq,307227,2004,6
hoteli,85445,2004,6
transport,166679,2004,6
finansi,29521,2004,6
imoti,128545,2004,6
dyrvawnouprawlenie,120758,2004,6
obrazowanie,195910,2004,6
zdraweopazwane,138202,2004,6
drugi,124615,2004,6
obshto,2257969,2004,7
selsko,81944,2004,7
dobiwna,30470,2004,7
prerabodwashta,615161,2004,7
energiq i woda,58665,2004,7
stroitelstwo,130504,2004,7
tyrgowiq,320818,2004,7
hoteli,102124,2004,7
transport,168187,2004,7
finansi,31970,2004,7
imoti,137742,2004,7
dyrvawnouprawlenie,121773,2004,7
obrazowanie,192445,2004,7
zdraweopazwane,138604,2004,7
drugi,127562,2004,7
obshto,2243242,2004,8
selsko,80923,2004,8
dobiwna,30358,2004,8
prerabodwashta,609704,2004,8
energiq i woda,58506,2004,8
stroitelstwo,130520,2004,8
tyrgowiq,319185,2004,8
hoteli,99725,2004,8
transport,166891,2004,8
finansi,32149,2004,8
imoti,137794,2004,8
dyrvawnouprawlenie,121839,2004,8
obrazowanie,190734,2004,8
zdraweopazwane,138529,2004,8
drugi,126385,2004,8
obshto,2226104,2004,9
selsko,81253,2004,9
dobiwna,30226,2004,9
prerabodwashta,605547,2004,9
energiq i woda,58329,2004,9
stroitelstwo,130323,2004,9
tyrgowiq,316767,2004,9
hoteli,89617,2004,9
transport,165075,2004,9
finansi,32404,2004,9
imoti,136914,2004,9
dyrvawnouprawlenie,121618,2004,9
obrazowanie,195068,2004,9
zdraweopazwane,138188,2004,9
drugi,124775,2004,9
obshto,2241607,2004,10
selsko,77738,2004,10
dobiwna,29855,2004,10
prerabodwashta,622973,2004,10
energiq i woda,57997,2004,10
stroitelstwo,130140,2004,10
tyrgowiq,324649,2004,10
hoteli,83771,2004,10
transport,165355,2004,10
finansi,32530,2004,10
imoti,137162,2004,10
dyrvawnouprawlenie,121727,2004,10
obrazowanie,196172,2004,10
zdraweopazwane,138810,2004,10
drugi,122728,2004,10
obshto,2221459,2004,11
selsko,72879,2004,11
dobiwna,29758,2004,11
prerabodwashta,617342,2004,11
energiq i woda,57523,2004,11
stroitelstwo,129725,2004,11
tyrgowiq,326126,2004,11
hoteli,78332,2004,11
transport,162990,2004,11
finansi,32396,2004,11
imoti,137046,2004,11
dyrvawnouprawlenie,121477,2004,11
