"currency","nace_r2","geo","time","values"
"MIO_EUR","K","BG313",2013,NA
"MIO_EUR","K","BG314",2013,NA
"MIO_EUR","K","BG315",2013,NA
"MIO_EUR","K","BG32",2013,NA
"MIO_EUR","K","BG321",2013,NA
"MIO_EUR","K","BG322",2013,NA
"MIO_EUR","K","BG323",2013,NA
"MIO_EUR","K","BG324",2013,NA
"MIO_EUR","K","BG325",2013,NA
"MIO_EUR","K","BG33",2013,NA
"MIO_EUR","K","BG331",2013,NA
"MIO_EUR","K","BG332",2013,NA
"MIO_EUR","K","BG333",2013,NA
"MIO_EUR","K","BG334",2013,NA
"MIO_EUR","K","BG34",2013,NA
"MIO_EUR","K","BG341",2013,NA
"MIO_EUR","K","BG342",2013,NA
"MIO_EUR","K","BG343",2013,NA
"MIO_EUR","K","BG344",2013,NA
"MIO_EUR","K","BG4",2013,NA
"MIO_EUR","K","BG41",2013,NA
"MIO_EUR","K","BG411",2013,NA
"MIO_EUR","K","BG412",2013,NA
"MIO_EUR","K","BG413",2013,NA
"MIO_EUR","K","BG414",2013,NA
"MIO_EUR","K","BG415",2013,NA
"MIO_EUR","K","BG42",2013,NA
"MIO_EUR","K","BG421",2013,NA
"MIO_EUR","K","BG422",2013,NA
"MIO_EUR","K","BG423",2013,NA
"MIO_EUR","K","BG424",2013,NA
"MIO_EUR","K","BG425",2013,NA
"MIO_EUR","K-N","BG",2013,NA
"MIO_EUR","K-N","BG3",2013,NA
"MIO_EUR","K-N","BG31",2013,NA
"MIO_EUR","K-N","BG311",2013,NA
"MIO_EUR","K-N","BG312",2013,NA
"MIO_EUR","K-N","BG313",2013,NA
"MIO_EUR","K-N","BG314",2013,NA
"MIO_EUR","K-N","BG315",2013,NA
"MIO_EUR","K-N","BG32",2013,NA
"MIO_EUR","K-N","BG321",2013,NA
"MIO_EUR","K-N","BG322",2013,NA
"MIO_EUR","K-N","BG323",2013,NA
"MIO_EUR","K-N","BG324",2013,NA
"MIO_EUR","K-N","BG325",2013,NA
"MIO_EUR","K-N","BG33",2013,NA
"MIO_EUR","K-N","BG331",2013,NA
"MIO_EUR","K-N","BG332",2013,NA
"MIO_EUR","K-N","BG333",2013,NA
"MIO_EUR","K-N","BG334",2013,NA
"MIO_EUR","K-N","BG34",2013,NA
"MIO_EUR","K-N","BG341",2013,NA
"MIO_EUR","K-N","BG342",2013,NA
"MIO_EUR","K-N","BG343",2013,NA
"MIO_EUR","K-N","BG344",2013,NA
"MIO_EUR","K-N","BG4",2013,NA
"MIO_EUR","K-N","BG41",2013,NA
"MIO_EUR","K-N","BG411",2013,NA
"MIO_EUR","K-N","BG412",2013,NA
"MIO_EUR","K-N","BG413",2013,NA
"MIO_EUR","K-N","BG414",2013,NA
"MIO_EUR","K-N","BG415",2013,NA
"MIO_EUR","K-N","BG42",2013,NA
"MIO_EUR","K-N","BG421",2013,NA
"MIO_EUR","K-N","BG422",2013,NA
"MIO_EUR","K-N","BG423",2013,NA
"MIO_EUR","K-N","BG424",2013,NA
"MIO_EUR","K-N","BG425",2013,NA
"MIO_EUR","L","BG",2013,NA
"MIO_EUR","L","BG3",2013,NA
"MIO_EUR","L","BG31",2013,NA
"MIO_EUR","L","BG311",2013,NA
"MIO_EUR","L","BG312",2013,NA
"MIO_EUR","L","BG313",2013,NA
"MIO_EUR","L","BG314",2013,NA
"MIO_EUR","L","BG315",2013,NA
"MIO_EUR","L","BG32",2013,NA
"MIO_EUR","L","BG321",2013,NA
"MIO_EUR","L","BG322",2013,NA
"MIO_EUR","L","BG323",2013,NA
"MIO_EUR","L","BG324",2013,NA
"MIO_EUR","L","BG325",2013,NA
"MIO_EUR","L","BG33",2013,NA
"MIO_EUR","L","BG331",2013,NA
"MIO_EUR","L","BG332",2013,NA
"MIO_EUR","L","BG333",2013,NA
"MIO_EUR","L","BG334",2013,NA
"MIO_EUR","L","BG34",2013,NA
"MIO_EUR","L","BG341",2013,NA
"MIO_EUR","L","BG342",2013,NA
"MIO_EUR","L","BG343",2013,NA
"MIO_EUR","L","BG344",2013,NA
"MIO_EUR","L","BG4",2013,NA
"MIO_EUR","L","BG41",2013,NA
"MIO_EUR","L","BG411",2013,NA
"MIO_EUR","L","BG412",2013,NA
"MIO_EUR","L","BG413",2013,NA
"MIO_EUR","L","BG414",2013,NA
"MIO_EUR","L","BG415",2013,NA
