"unit","sex","age","nace_r2","geo","time","values"
"THS","F","Y15-29","G","BG","2013Q1",NA
"THS","F","Y15-29","H","BG","2013Q1",NA
"THS","F","Y15-29","I","BG","2013Q1",NA
"THS","F","Y15-29","J","BG","2013Q1",NA
"THS","F","Y15-29","K","BG","2013Q1",NA
"THS","F","Y15-29","L","BG","2013Q1",NA
"THS","F","Y15-29","M","BG","2013Q1",NA
"THS","F","Y15-29","N","BG","2013Q1",NA
"THS","F","Y15-29","O","BG","2013Q1",NA
"THS","F","Y15-29","P","BG","2013Q1",NA
"THS","F","Y15-29","Q","BG","2013Q1",NA
"THS","F","Y15-29","R","BG","2013Q1",NA
"THS","F","Y15-29","S","BG","2013Q1",NA
"THS","F","Y15-29","T","BG","2013Q1",NA
"THS","F","Y15-29","TOTAL","BG","2013Q1",13.7
"THS","F","Y15-39","A","BG","2013Q1",NA
"THS","F","Y15-39","C","BG","2013Q1",NA
"THS","F","Y15-39","D","BG","2013Q1",NA
"THS","F","Y15-39","E","BG","2013Q1",NA
"THS","F","Y15-39","F","BG","2013Q1",NA
"THS","F","Y15-39","G","BG","2013Q1",NA
"THS","F","Y15-39","H","BG","2013Q1",NA
"THS","F","Y15-39","I","BG","2013Q1",NA
"THS","F","Y15-39","J","BG","2013Q1",NA
"THS","F","Y15-39","K","BG","2013Q1",NA
"THS","F","Y15-39","L","BG","2013Q1",NA
"THS","F","Y15-39","M","BG","2013Q1",NA
"THS","F","Y15-39","N","BG","2013Q1",5.9
"THS","F","Y15-39","O","BG","2013Q1",NA
"THS","F","Y15-39","P","BG","2013Q1",NA
"THS","F","Y15-39","Q","BG","2013Q1",NA
"THS","F","Y15-39","R","BG","2013Q1",NA
"THS","F","Y15-39","S","BG","2013Q1",NA
"THS","F","Y15-39","T","BG","2013Q1",NA
"THS","F","Y15-39","TOTAL","BG","2013Q1",25.3
"THS","F","Y15-39","U","BG","2013Q1",NA
"THS","F","Y15-59","A","BG","2013Q1",NA
"THS","F","Y15-59","B","BG","2013Q1",NA
"THS","F","Y15-59","C","BG","2013Q1",NA
"THS","F","Y15-59","D","BG","2013Q1",NA
"THS","F","Y15-59","E","BG","2013Q1",NA
"THS","F","Y15-59","F","BG","2013Q1",NA
"THS","F","Y15-59","G","BG","2013Q1",NA
"THS","F","Y15-59","H","BG","2013Q1",NA
"THS","F","Y15-59","I","BG","2013Q1",NA
"THS","F","Y15-59","J","BG","2013Q1",NA
"THS","F","Y15-59","K","BG","2013Q1",NA
"THS","F","Y15-59","L","BG","2013Q1",NA
"THS","F","Y15-59","M","BG","2013Q1",NA
"THS","F","Y15-59","N","BG","2013Q1",14.9
"THS","F","Y15-59","O","BG","2013Q1",NA
"THS","F","Y15-59","P","BG","2013Q1",NA
"THS","F","Y15-59","Q","BG","2013Q1",NA
"THS","F","Y15-59","R","BG","2013Q1",NA
"THS","F","Y15-59","S","BG","2013Q1",NA
"THS","F","Y15-59","T","BG","2013Q1",NA
"THS","F","Y15-59","TOTAL","BG","2013Q1",45.9
"THS","F","Y15-59","U","BG","2013Q1",NA
"THS","F","Y15-64","A","BG","2013Q1",NA
"THS","F","Y15-64","B","BG","2013Q1",NA
"THS","F","Y15-64","C","BG","2013Q1",NA
"THS","F","Y15-64","D","BG","2013Q1",NA
"THS","F","Y15-64","E","BG","2013Q1",NA
"THS","F","Y15-64","F","BG","2013Q1",NA
"THS","F","Y15-64","G","BG","2013Q1",NA
"THS","F","Y15-64","H","BG","2013Q1",NA
"THS","F","Y15-64","I","BG","2013Q1",NA
"THS","F","Y15-64","J","BG","2013Q1",NA
